City/Town,Dropbox Address,Instructions,Instructions Part 1,Concatenated,Election Office,Number,QAer,Zip,How was this information gathered?(inlcude link if found on web),Name ,Email,Campaign Email Info,Campaign Number Info,No Drop Box Ask,Where is the Drop Box located?,Has Dropbox? ,No Info
SCITUATE,"Town Hall, 600 Chief Justice Cushing Hwy","Drop ballots in the mail slot at town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Drop ballots in the mail slot at town hall,"Drop ballots in the mail slot at town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",781-545-8743,Christopher,2066,https://scituate.wickedlocal.com/news/20200509/important-scituate-town-election-information,Kathleen Gardner,kgardner@scituatema.gov,,781-545-8743,,,Yes,
DRACUT,"Town Hall, 62 Arlington Street","Dropbox is located in front of town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Dropbox is located in front of town hall,"Dropbox is located in front of town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",978-453-0951 X 255,Christopher,1826,SOS,,shardy@dracutma.gov,Direct email option,,,,Yes,
NORTHBOROUGH,"Town Hall, 63 Main Street","Drop ballots in the mail slot  You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Drop ballots in the mail slot ,"Drop ballots in the mail slot  You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-393-5001,Christopher,1532,SOS,,townclerk@town.northborough.ma.us,townclerk@town.northborough.ma.us,(508) 393-5001,,,Yes,
WEST BRIDGEWATER,"Town Hall, 65 North Main Street","You can drop your ballot in the dropbox located at town hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",You can drop your ballot in the dropbox located at town hall.,"You can drop your ballot in the dropbox located at town hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-894-1167,Christopher,2379,,Anne Iannitelli,townclerk@wbridgewater.com,,,,"We know that you have a drop box for ballots.  Can you explain where it's located at the given address? (Record in ""Instructions"" Column L)",Yes,y
BOLTON,"Town Hall, 663 Main Street ","Drop ballots in the main door drop slot  You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Drop ballots in the main door drop slot ,"Drop ballots in the main door drop slot  You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",978-779-2771,Christopher,1740,SOS,,townclerk@townofbolton.com,Direct email option,(978) 779-2771,,,Yes,
DENNIS,"Town Hall, 685 MA-134, South Dennis ","The drop box is located at the front entrance at the bottom of the steps  You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",The drop box is located at the front entrance at the bottom of the steps ,"The drop box is located at the front entrance at the bottom of the steps  You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-760-6112,Christopher,2660,FB,,tbunce@town.dennis.ma.us,Direct email option,	(508) 760-6112,,,Yes,
PAXTON,"Town Hall, 697 Pleasant Street","Ther are two dropboxes: One next to the main entrance & one at the bottom of the side door entrance stairs   You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Ther are two dropboxes: One next to the main entrance & one at the bottom of the side door entrance stairs  ,"Ther are two dropboxes: One next to the main entrance & one at the bottom of the side door entrance stairs   You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-799-7347 x 13,Christopher,1612,SOS,Laurie Becker,lbecker@townofpaxton.net,,,,,Yes,
SHIRLEY,"Town Hall, 7 Keady Way ","Dropbox is located on the wall to the left of the front door You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Dropbox is located on the wall to the left of the front door,"Dropbox is located on the wall to the left of the front door You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",978-425-2600 x 1,Christopher,1464,SOS,,clerk@shirley-ma.gov,Clerk@shirley-ma.gov,(978) 425-2600 Ext. 1,,,Yes,
NORTHBRIDGE,"Town Hall, 7 Main Street, Whitinsville","You can drop your ballot in the dropbox located at town hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",You can drop your ballot in the dropbox located at town hall.,"You can drop your ballot in the dropbox located at town hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-234-2001,Christopher,1588,,,vote@northbridgemass.org, dcedrone@northbridgemass.org,508-234-2001,,"We know that you have a drop box for ballots.  Can you explain where it's located at the given address? (Record in ""Instructions"" Column L)",Yes,y
EDGARTOWN,"Town Hall, 70 Main Street ","Dropbox is located in the inside lobby You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Dropbox is located in the inside lobby,"Dropbox is located in the inside lobby You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-627-6110,Christopher,2539,SOS,,kmedeiros@edgartown-ma.us,kmedeiros@edgartown-ma.us,,,,Yes,
HOLLISTON,"Town Hall, 703 Washington Street","You can drop your ballot in the dropbox located at town hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",You can drop your ballot in the dropbox located at town hall.,"You can drop your ballot in the dropbox located at town hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-429-0601,Christopher,1746,,,greendalee@holliston.k12.ma.us,Direct email option,(508) 210-5530,,"We know that you have a drop box for ballots.  Can you explain where it's located at the given address? (Record in ""Instructions"" Column L)",Yes,y
WINCHESTER,"Town Hall, 71 Mount Vernon Street ","There are two dropboxes: one near the front door and one near the back door You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",There are two dropboxes: one near the front door and one near the back door,"There are two dropboxes: one near the front door and one near the back door You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",781-721-7130,Christopher,1890,SOS,,townclerk@winchester.us,townclerk@winchester.us,,,,Yes,
DUDLEY,"Town Hall, 71 West Main Street","Dropbox is located in the Police Lobby You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Dropbox is located in the Police Lobby,"Dropbox is located in the Police Lobby You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-949-8004,Christopher,1571,SOS,,townclerk@dudleyma.gov,,,,,Yes,
HARWICH,"Town Hall, 732 Main Street","You can drop your ballot in the dropbox located at town hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",You can drop your ballot in the dropbox located at town hall.,"You can drop your ballot in the dropbox located at town hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-430-7516 x 5,Christopher,2645,,,adoucette@town.harwich.ma.us,Direct email option,(508) 430-7516,,"We know that you have a drop box for ballots.  Can you explain where it's located at the given address? (Record in ""Instructions"" Column L)",Yes,y
HOPEDALE,"Town Hall, 78 Hopedale Street","Drop ballots in the mail slot at the general office door You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Drop ballots in the mail slot at the general office door,"Drop ballots in the mail slot at the general office door You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-634-2203 x 215,Christopher,1747,SOS,,lpedroli@hopedale-ma.gov,,,,,Yes,
HUDSON,"Town Hall, 78 Main Street ","Drop ballots in the mail slot in front of town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Drop ballots in the mail slot in front of town hall,"Drop ballots in the mail slot in front of town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",978-568-9615,Christopher,1749,SOS,,jwordell@townofhudson.org,,,,,Yes,
WRENTHAM,"Town Hall, 79 South Street, Wrentham, MA","Dropbox is located outside town hall, on right side of main entrance You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","Dropbox is located outside town hall, on right side of main entrance","Dropbox is located outside town hall, on right side of main entrance You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-384-5415,Christopher,2093,SOS,,cthompson@wrentham.ma.us,,,,,Yes,
BOXFORD,"Town Hall, 7A Spofford Rd","Dropbox is located opposite the mail slot in front of town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Dropbox is located opposite the mail slot in front of town hall,"Dropbox is located opposite the mail slot in front of town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",978-887-0710,Christopher,1921,,Robin Phelan,rphelan@town.boxford.ma.us,Direct email option,,,,Yes,
ADAMS,"Town Hall, 8 Park Street","Dropbox is located in front of town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Dropbox is located in front of town hall,"Dropbox is located in front of town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-743-8300 x 176,Christopher,1220,City Outreach Project,Haley Meczywor,hmeczywor@town.adams.ma.us,,413-743-8300 ext 113,,,Yes,
HAWLEY,"Town Hall, 8 Pudding Hollow Road","You can drop your ballot in the dropbox located at town hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",You can drop your ballot in the dropbox located at town hall.,"You can drop your ballot in the dropbox located at town hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-339-5518,Christopher,1339,,,townclerk@townofhawley.com,,,,"We know that you have a drop box for ballots.  Can you explain where it's located at the given address? (Record in ""Instructions"" Column L)",Yes,y
WASHINGTON,"Town Hall, 8 Summit Hill Road","You can drop your ballot in the dropbox located at town hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",You can drop your ballot in the dropbox located at town hall.,"You can drop your ballot in the dropbox located at town hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-623-8878,Christopher,1223,,,washington.ma.townclerk@gmail.com,,,,"We know that you have a drop box for ballots.  Can you explain where it's located at the given address? (Record in ""Instructions"" Column L)",Yes,y
TOPSFIELD,"Town Hall, 8 West Common Street ","Dropbox is located in front on the street-side entrance You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Dropbox is located in front on the street-side entrance,"Dropbox is located in front on the street-side entrance You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",978-887-1505,Christopher,1983,SOS,,clerk@topsfield-ma.gov,,978-887-1505,,,Yes,
CANTON,"Town Hall, 801 Washington Street ","Drop ballots in the town hall payment box You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Drop ballots in the town hall payment box,"Drop ballots in the town hall payment box You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",781-821-5013,Christopher,2021,SOS,,tkenney@town.canton.ma.us,tkenney@town.canton.ma.us,781-821-5013,,,Yes,
WESTPORT,"Town Hall, 816 Main Road","Drop ballots in the red dropbox in front of the main town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Drop ballots in the red dropbox in front of the main town hall,"Drop ballots in the red dropbox in front of the main town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-636-1000,Christopher,2790,,,clerk@westport-ma.gov,,,,"We know that you have a drop box for ballots.  Can you explain where it's located at the given address? (Record in ""Instructions"" Column L)",Yes,
DUXBURY,"Town Hall, 878 Tremont St","Dropbox is located outside the back door of the town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Dropbox is located outside the back door of the town hall,"Dropbox is located outside the back door of the town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",781-934-1100 x 5450,Christopher,2332,https://www.facebook.com/DuxburyMATownClerk/posts/2874554712651993?comment_id=3196475487126579&reply_comment_id=3196476867126441&notif_id=1597703800168240&notif_t=comment_mention&ref=notif,Susan C Kelley,kelley@town.duxbury.ma.us,,,,,Yes,
ASHBY,"Town Hall, 895 Main Street ","Dropbox is located next to town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Dropbox is located next to town hall,"Dropbox is located next to town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",978-386-2424 x 10,Christopher,1431,SOS,,tclerk@ashbyma.gov,,,,,Yes,
WINTHROP,"Town Hall, One Metcalf Square ","There are two dropboxes: one by the front door and one in the Hermon Street parking lot You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",There are two dropboxes: one by the front door and one in the Hermon Street parking lot,"There are two dropboxes: one by the front door and one in the Hermon Street parking lot You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",617-846-1742,Christopher,2093,SOS,,cvitale@town.winthrop.ma.us,,(617) 846-1742,,,Yes,
WEST TISBURY,"Town Hall,1059 State Road ","There are two dropboxes: one outside town hall and one in the town hall lobby You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",There are two dropboxes: one outside town hall and one in the town hall lobby,"There are two dropboxes: one outside town hall and one in the town hall lobby You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-696-0148,Christopher,2575,SOS,,townclerk@westtisbury-ma.gov,,,,,Yes,
HEATH,Town Hall: 1 East Main St.,"You can drop your ballots off at the dropbox located inside Town Hall next to the Post Office door.

 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can drop your ballots off at the dropbox located inside Town Hall next to the Post Office door.

","You can drop your ballots off at the dropbox located inside Town Hall next to the Post Office door.

 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-337-4934 x 6,Malia,,,,townclerk@townofheath.org,townclerk@townofheath.org,(413) 337-4934 Ext. #6,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
BRAINTREE,Town Hall: 1 John F Kennedy Memorial Dr.,"The dropbox is located outside of the parking lot of the town hall.  You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",The dropbox is located outside of the parking lot of the town hall. ,"The dropbox is located outside of the parking lot of the town hall.  You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",781-794-8240,Ahmad,,,,townclerk@braintreema.gov,jmcasey@braintreema.gov,781-794-8202,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
AYER,Town Hall: 1 Main Street,"There are two dropboxes located outside both entrances of the town hall; on Main Street and Columbia
Street. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","There are two dropboxes located outside both entrances of the town hall; on Main Street and Columbia
Street.","There are two dropboxes located outside both entrances of the town hall; on Main Street and Columbia
Street. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",978-772-8215,Ahmad,,,,clerk@ayer.ma.us,,(978) 772-8215,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
BLANDFORD,Town Hall: 1 Russell Stage Rd,"There is a dropbox for you to drop your ballots in directly in front of the town hall on right hand side of doors You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",There is a dropbox for you to drop your ballots in directly in front of the town hall on right hand side of doors,"There is a dropbox for you to drop your ballots in directly in front of the town hall on right hand side of doors You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-848-4279 x 203,Malia,,,,townclerk@townofblandford.com,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
MANCHESTER-BY-THE-SEA,Town Hall: 10 Central St,"Dropbox is located behind town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Dropbox is located behind town hall,"Dropbox is located behind town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",978-526-2040,Christopher,1944,http://manchester.ma.us/503/Town-Meetings-and-Elections,,townclerk@manchester.ma.us,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,Yes,x
MIDDLEBOROUGH,Town Hall: 10 Nickerson Ave,"Dropbox is located in the town hall parking lot You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Dropbox is located in the town hall parking lot,"Dropbox is located in the town hall parking lot You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-946-2415,Christopher,2346,https://www.middleborough.com/156/Election-Information,,aferreira@middleborough.com,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,Yes,x
HADLEY,Town Hall: 100 Middle Street,"Dropbox is located at the side door of town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Dropbox is located at the side door of town hall,"Dropbox is located at the side door of town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-584-1590,Christopher,1035,Phone call,,clerk@hadleyma.org,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,Yes,x
ASHLAND,Town Hall: 1010 Main Street,"You can drop your ballots in the payment dropbox outside of Town Hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",You can drop your ballots in the payment dropbox outside of Town Hall.,"You can drop your ballots in the payment dropbox outside of Town Hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-881-0100 x 7127,Malia,,,,townclerkoffice@ashlandmass.com,townclerkoffice@ashlandmass.com,508-881-0100 x 7127,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
HOLDEN,Town Hall: 1196 Main Street,"Drop box is labeled ""Town Clerk business only"" You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","Drop box is labeled ""Town Clerk business only""","Drop box is labeled ""Town Clerk business only"" You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-210-5530,Ahmad,,,Jeanne Survell,jsurvell@holdenma.gov,Direct email option,(508) 210-5530,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
MILLBURY,Town Hall: 127 Elm Street,"Dropbox is located outside of town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Dropbox is located outside of town hall,"Dropbox is located outside of town hall You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-865-9110,Christopher,1527,https://www.millbury-ma.org/home/news/office-town-clerk,,jdavolio@townofmillbury.net,Direct email option,508) 865-9110,Do you have a secure drop box for ballots?  What is the address and location on site?,,Yes,x
WALPOLE,Town Hall: 135 School St.,"You can drop your ballots in the drop box near the back door of town hall, attached to the building. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can drop your ballots in the drop box near the back door of town hall, attached to the building.","You can drop your ballots in the drop box near the back door of town hall, attached to the building. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-660-7296,Malia,,,,townclerk@walpole-ma.gov,townclerk@walpole-ma.gov,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
CHESTER,Town Hall: 15 Middlefield Road,"The dropbox is located and outside and beside the front entrance of the town hall. It is labelled “Town Of Chester.” You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",The dropbox is located and outside and beside the front entrance of the town hall. It is labelled “Town Of Chester.”,"The dropbox is located and outside and beside the front entrance of the town hall. It is labelled “Town Of Chester.” You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-354-6603,Ahmad,,,,rdalesandro@townofchester.net,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
MASHPEE,Town Hall: 16 Great Neck Rd. N.,"Dropbox is located at the front of the building by the front door You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Dropbox is located at the front of the building by the front door,"Dropbox is located at the front of the building by the front door You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-539-1400 x 8534,Christopher,2649,Phone Call,,ddami@mashpeema.gov,Direct email option,(508) 539-1400 ext. 8534,Do you have a secure drop box for ballots?  What is the address and location on site?,,Yes,x
MATTAPOISETT,Town Hall: 16 Main St.,"Place ballots in the dropbox that is located on the back side of Town Hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Place ballots in the dropbox that is located on the back side of Town Hall.,"Place ballots in the dropbox that is located on the back side of Town Hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-758-4100 x 207,Malia,,,,townclerk@mattapoisett.net,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
BUCKLAND,"Town Hall: 17 State St, Shelburne Falls","You can pace your ballot in the dropbox, ocated outside to the left of the front entrance of Town Hall and is in the form of a black lock box. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can pace your ballot in the dropbox, ocated outside to the left of the front entrance of Town Hall and is in the form of a black lock box.","You can pace your ballot in the dropbox, ocated outside to the left of the front entrance of Town Hall and is in the form of a black lock box. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-625-6330 x 4,Malia,,,,twnclerk@town.buckland.ma.us,twnclerk@town.buckland.ma.us,413-625-6330,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
